text,entities
كما ركز الاتحاد الأوروبي على الحفاظ على النسيج الاجتماعي داخل المجتمعات في اليمن وعلى بناء الثقة بين المواطنين والمؤسسات المحلية . $#$,"{""story_entities"": [{""entity_value"": ""الاتحاد"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الأوروبي"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""اليمن"", ""entity_type"": ""B-GPE""}]}"
مذكرات خليل السكاكيني : بتاريخ 14 / 8الى / ( 21 / 8 / 1943 ) .,"{""story_entities"": [{""entity_value"": ""خليل"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""السكاكيني"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""14"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""8الى"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""21"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""8"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1943"", ""entity_type"": ""I-DATE""}]}"
رسالة من لجنة الأمن والإصلاح المتفرعة من اللجنة القومية العربية في نابلس إلى سليمان طوقان ( 8 / 3 / 1948 ) .,"{""story_entities"": [{""entity_value"": ""لجنة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الأمن"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""والإصلاح"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""اللجنة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""القومية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""العربية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""نابلس"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""سليمان"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""طوقان"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""8"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""3"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1948"", ""entity_type"": ""I-DATE""}]}"
مضابط بلدية نابلس عام ( 1308 ) هجري مضبط رقم 435 .,"{""story_entities"": [{""entity_value"": ""بلدية"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""نابلس"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""نابلس"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""عام"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1308"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""هجري"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""435"", ""entity_type"": ""B-ORDINAL""}]}"
تصميم موقع انترنت إحترافي مجاناً بأقل من 30 ثانية $#$,"{""story_entities"": [{""entity_value"": ""30"", ""entity_type"": ""B-TIME""}, {""entity_value"": ""ثانية"", ""entity_type"": ""I-TIME""}]}"
ثانيا الشق البنائي ويقضي بإنشاء المدونة والصفحات وتنصيب الووردبريس بعد أن تجد الاستضافة المناسبة طبعا ، ثم تنشر المحتوى المناسب بناء على الكلمات التي اخترتها في حال كنت ستعتمد على الترافيك المجاني . $#$,"{""story_entities"": [{""entity_value"": ""ثانيا"", ""entity_type"": ""B-ORDINAL""}]}"
بتذكر شردوني وأسروني,"{""story_entities"": []}"
المشهد الثالث :,"{""story_entities"": []}"
بيان جماهيري خلال الانتفاضة الأولى 1987 صادر عن القيادة الوطنية الموحدة للانتفاضة : بتاريخ ( 2 / 10 / 1989 ) .,"{""story_entities"": [{""entity_value"": ""الانتفاضة"", ""entity_type"": ""B-EVENT""}, {""entity_value"": ""الأولى"", ""entity_type"": ""I-EVENT""}, {""entity_value"": ""الأولى"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": ""1987"", ""entity_type"": ""I-EVENT""}, {""entity_value"": ""1987"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""القيادة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الوطنية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الموحدة"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""للانتفاضة"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""للانتفاضة"", ""entity_type"": ""B-EVENT""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""2"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""10"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1989"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
"كما ألقى د . حسن أبولبده كلمة اعتبر فيها إدراج شركة واصل حدثا مميزا بكل المقاييس ، وذا أثر مباشر على هيكل المساهمين والملكيات وحيوية البورصة الفلسطينية . حيث تحتل هذه الشركة التي يفوق عدد مساهميها 20 , 0 مساهم ، المرتبة الأولى من بين الشركات المدرجة في السوق من ناحية عدد المساهمين . وتابع د . أبو لبده قائلاً : "" نلتقي اليوم لنضيف خطوة جديدة على طريق استكمال إدراج الشركات المساهمة العامة غير المدرجة ، بالتعاون الوثيق والتنسيق اليومي المستمر مع هيئة سوق رأس المال ، بصفتها مكلفة بتطبيق قانون الأوراق المالية ، والذي تنص المادة 103 منه على وجوب إدراج جميع الشركات المساهمة العامة في سوق فلسطين للأوراق المالية دون إبطاء ، حماية لحقوق المساهمين ، ومساهمة في تطوير بيئة الاستثمار في فلسطين "" . $#$","{""story_entities"": [{""entity_value"": ""د"", ""entity_type"": ""B-OCC""}, {""entity_value"": ""."", ""entity_type"": ""I-OCC""}, {""entity_value"": ""حسن"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""أبولبده"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""شركة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""واصل"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المساهمين"", ""entity_type"": ""B-NORP""}, {""entity_value"": ""البورصة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الفلسطينية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الشركة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""20"", ""entity_type"": ""B-CARDINAL""}, {""entity_value"": "","", ""entity_type"": ""I-CARDINAL""}, {""entity_value"": ""0"", ""entity_type"": ""I-CARDINAL""}, {""entity_value"": ""الأولى"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": ""المساهمين"", ""entity_type"": ""B-NORP""}, {""entity_value"": ""د"", ""entity_type"": ""B-OCC""}, {""entity_value"": ""."", ""entity_type"": ""I-OCC""}, {""entity_value"": ""أبو"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""لبده"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""اليوم"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""اليومي"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""هيئة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""سوق"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""رأس"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المال"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""103"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": ""سوق"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""للأوراق"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المالية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المساهمين"", ""entity_type"": ""B-NORP""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""B-GPE""}]}"
طيب شو رايكو بكباية شاي بمرميه,"{""story_entities"": []}"
وتحدد القرارات أيضا قيام اللجنة عند الضرورة بتمديد فترة الإهتمام الدولي للبلدان التي خرجت لتوها من الصراع ، وتسليط الضوء على الثغرات التي تهدد بتقويض بناء السلام . $#$,"{""story_entities"": []}"
.,"{""story_entities"": []}"
جريدة فلسطين / شباط ( 28 / 2 / 1945 ) .,"{""story_entities"": [{""entity_value"": ""جريدة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""فلسطين"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""شباط"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""28"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""2"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1945"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
محضر اجتماع بلدية بيرزيت رقم 92 بتاريخ ( 23 / 12 / 1965 ) .,"{""story_entities"": [{""entity_value"": ""بلدية"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""بيرزيت"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""بيرزيت"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""92"", ""entity_type"": ""B-ORDINAL""}, {""entity_value"": ""بتاريخ"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""23"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""12"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""/"", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1965"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
تبذل جهود ظاهرة لتثقيف السكان بشأن مخاطر الألغام في المدينة ، فهناك ملصقات على التقاطعات الرئيسية والمباني الإدارية ، $#$,"{""story_entities"": []}"
رسالة المجلس الإسلامي الاعلى بخصوص صرف شيك عام ( 1948 ) .,"{""story_entities"": [{""entity_value"": ""المجلس"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""الإسلامي"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الاعلى"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""عام"", ""entity_type"": ""B-DATE""}, {""entity_value"": ""("", ""entity_type"": ""I-DATE""}, {""entity_value"": ""1948"", ""entity_type"": ""I-DATE""}, {""entity_value"": "")"", ""entity_type"": ""I-DATE""}]}"
حجة بيع ارض ( 1918 ) .,"{""story_entities"": [{""entity_value"": ""1918"", ""entity_type"": ""B-DATE""}]}"
"موقع به شرح عن السيو , إذا كنت تبحث عن إجابة حقيقية مبنية عن علم وتجربة ، فأنصحك أن تطالع مقالتي الشاملة أسفله : $#$","{""story_entities"": []}"
"أعلنت هيئة سوق رأس المال الفلسطينية مؤخرا عن الانتهاء من تطوير شهادة "" تشريعات قطاع الأوراق المالية الفلسطيني "" وذلك بالتعاون مع المعهد المعتمد للأوراق المالية والاستثمار Chartered Institute for Securities and Investment ( CISI ) وهو مؤسسة عالمية متخصصة في منح الشهادات المهنية للقطاع المالي ومقره لندن . $#$","{""story_entities"": [{""entity_value"": ""هيئة"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""سوق"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""رأس"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المال"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""الفلسطينية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المعهد"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""المعتمد"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""للأوراق"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""المالية"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""والاستثمار"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""Chartered"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""Institute"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""for"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""Securities"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""and"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""Investment"", ""entity_type"": ""I-ORG""}, {""entity_value"": ""CISI"", ""entity_type"": ""B-ORG""}, {""entity_value"": ""لندن"", ""entity_type"": ""B-GPE""}]}"
مقابلة مع السيدة عائشة عيد من مخيم الأمعري .,"{""story_entities"": [{""entity_value"": ""عائشة"", ""entity_type"": ""B-PERS""}, {""entity_value"": ""عيد"", ""entity_type"": ""I-PERS""}, {""entity_value"": ""مخيم"", ""entity_type"": ""B-GPE""}, {""entity_value"": ""الأمعري"", ""entity_type"": ""I-GPE""}]}"
ويمتاز برنامج الشهادات بالمرونة العالية والتي تلائم ظروف العاملين في المهن ذات العلاقة بالوساطة المالية حيث بإمكان المتقدم التحضير للشهادة المطلوبة من خلال الدراسة الذاتية وإجتياز الإمتحان إلكترونياً ودون الحاجة للسفر إلى الخارج ، كما تجدر الإشارة إلى أن تكلفة الإمتحان بالنسبة للمتقدم ستكون معقولة ومناسبة خاصة إذا ما قورنت بمستوى الشهادة المتخصصة التي سيحصل عليها من ينجح في إجتياز الإمتحان . $#$,"{""story_entities"": [{""entity_value"": ""العاملين"", ""entity_type"": ""B-NORP""}, {""entity_value"": ""في"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""المهن"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""ذات"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""العلاقة"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""بالوساطة"", ""entity_type"": ""I-NORP""}, {""entity_value"": ""المالية"", ""entity_type"": ""I-NORP""}]}"
وتواجه المرأة في المجتمعات التي مزقتها الحروب أشكالا خاصة ومدمرة الناتجة عن العنف الجنسي ، والتي تنتشر في بعض الأحيان بشكل ممنهج لتحقيق الأهداف العسكرية أو السياسية . $#$,"{""story_entities"": []}"
